AEP,Mass,Fatigue,Method
227.38256311925934,9619.623403978234,123.01807681716717,GA
227.3353548195525,9486.969320515394,127.71127679372417,GA
227.3096979998465,9711.582326849733,121.29400679967199,GA
227.3039263792353,9736.63414231247,119.88551067777885,GA
227.27638556466567,9614.24473422971,123.04038155255866,GA
227.26403478969587,9139.151588847919,136.46336040134642,GA
227.22882541868205,9214.439096550548,135.56110703512658,GA
227.17951641552207,9483.717103954685,127.57998016533031,GA
227.1731660180217,9676.375702760984,122.03702332185858,GA
227.16301970387497,9771.575994655612,118.76479675518416,GA
227.08987738574447,9134.370647151687,136.24930919900876,GA
227.08064333162565,9555.040743101612,124.29323068660955,GA
227.04321238404424,9156.284247345082,135.64055774347142,GA
227.04182915799845,9256.515307589714,133.8408472792325,GA
227.03298466842094,9337.815615219337,131.5568387430845,GA
227.0104566771523,9672.90980324956,121.90593604562535,GA
226.9898030124064,9477.629972656514,126.40563508844062,GA
226.97400959032552,9638.48736870609,121.90103921519274,GA
226.96869975887637,9411.080199101656,128.38315484687675,GA
226.94482241849798,9166.81039454632,135.22635275140067,GA
226.893717218333,9792.990058818472,118.0875361395036,GA
226.84878312176664,9334.026762449137,131.39676470871885,GA
226.81644015129038,9388.641618505786,130.5288347698471,GA
226.76875270810623,9163.453627218123,135.44462676992487,GA
226.7587824939868,9493.44943735525,125.92018221729914,GA
226.75039626128884,9575.649092052192,123.31518115829809,GA
226.7407619432792,9500.834041124726,125.59981293112116,GA
226.72661459618777,9374.029727172117,128.86423940631818,GA
226.66908122192535,9394.72147113581,128.31721570945174,GA
226.58307730160067,9121.166385882381,135.91015601923763,GA
226.53268085786488,9116.178224805331,135.9845229012262,GA
226.50244753702626,9213.805265023355,134.75738116700595,GA
226.45499365931084,9757.030582162559,119.0072146175025,GA
226.44316130878107,9475.290258362378,125.5362858357048,GA
226.37568959899016,9155.508578220044,135.09262582815234,GA
226.34577775720982,9709.749733393053,119.28880413829825,GA
226.28737018542864,9234.249384600516,132.29880451819943,GA
226.2669780294298,9740.988581229321,118.70495559043722,GA
226.22923791195203,9152.546562708301,134.96155162054978,GA
226.22143491373782,9081.956754841074,136.77948303536186,GA
226.21420376452446,9014.055033165474,138.654750111365,GA
226.20422398056544,9027.79870719605,138.15910242984884,GA
226.18644733346906,9192.693529126469,133.16841403989,GA
226.14041536008153,9442.505203896735,126.3680153698607,GA
226.07533492082524,9682.739402911291,119.76786966194004,GA
226.05298244715596,9505.154024613415,125.12118357902779,GA
226.0268922183758,9040.102624386638,137.67331795092394,GA
225.9532727363198,9009.419482748197,138.44094713226664,GA
225.9039435780501,9318.025838497264,130.23383698723953,GA
225.88868584184962,9187.02163702853,132.9220713532067,GA
225.88777012348848,9185.572845631563,132.9355395802486,GA
225.88258901589262,9132.447838762417,134.5202179112192,GA
225.87287841566126,9425.121447131922,126.53159347754399,GA
225.8709293743087,9522.36879671808,123.87828867497032,GA
225.69853608416662,8977.025722536278,139.16306876703106,GA
225.6547757762167,9032.658031199868,137.33347289999995,GA
225.64989124249072,8980.507658921175,138.76774155876473,GA
225.64564273624683,9666.782865541014,119.4534613600267,GA
225.6368217265316,9681.882611435049,119.3094079158369,GA
225.63458445386217,9220.920448374874,131.7267412754536,GA
225.6105059803817,8956.26503489532,139.48077115850967,GA
225.59389604451283,9302.451276576041,131.2030058584335,GA
225.53034175307934,9301.694987031917,131.17100803606542,GA
225.47729445537698,9344.33638900887,127.93900242685426,GA
225.474509584735,8984.768589169083,138.7495974410428,GA
225.45734886731773,9263.25263866956,131.06258837512812,GA
225.4375601379202,9447.287739541482,126.11541909759406,GA
225.4273343978574,9488.271122569233,123.7887252547228,GA
225.4273282281676,9215.6213592886,131.56176720881035,GA
225.38510325637486,9745.677502767427,117.13954980388561,GA
225.25744595883364,9418.187236220885,126.76301824030547,GA
225.22659184933022,9053.064532328946,136.4446128679776,GA
225.20682838116915,9575.217277678828,121.15327477892363,GA
225.18544364852048,9745.157039907459,117.33415412701565,GA
225.17761622662408,9012.861991412734,137.27107260086717,GA
225.16676871049123,9645.35832278806,119.27837042760423,GA
225.14136906025664,9421.577146499189,126.71740854547838,GA
225.13654695236906,9086.109857272002,134.76603077149935,GA
225.134741893497,9085.065215324234,134.79462796846624,GA
225.13246040574293,9091.170183376738,134.70410970945252,GA
225.10299332080692,8932.987568687082,139.68885394350573,GA
225.09085393882717,9408.65056955956,126.40453727853384,GA
225.06859384034237,9143.67822470892,134.20751364031622,GA
225.0109962657955,8909.068160219902,140.22459200917004,GA
224.99981621678825,9427.815645969182,124.88343164410871,GA
224.94284342349053,9476.71614722184,123.99164096760269,GA
224.91547722228322,9128.859002615152,134.42537777325094,GA
224.91526336448408,9723.07545202655,117.00511717510065,GA
224.90963884131804,8899.073028671131,140.45469656756683,GA
224.86595433770114,8898.208747200848,140.41377749589327,GA
224.85623306834378,8975.204722102311,138.17647588846046,GA
224.79668876917245,9290.072481007082,129.4744930811355,GA
